Key;Item Type;Publication Year;Author;Title;categoría recurrente;CSF principal;Takeaway;Abstract;Publication Title;Citations;ISSN;DOI;Url;Year;Date Added;Date Modified;Access Date;Pages;Issue;Volume;Journal Abbreviation
J2LCQIY7;journalArticle;2024;"Arroyabe, Marta F.; Arranz, Carlos F.A.; Fernandez De Arroyabe, Ignacio; Fernandez De Arroyabe, Juan Carlos";Exploring the economic role of cybersecurity in SMEs: A case study of the UK;Organizational culture and internal awareness;Programas de capacitación y actualización tecnológica específica para equipos de seguridad;Cybersecurity is a merit-good for SMEs, but market failures and lack of information hinder optimal implementation, highlighting the need for nuanced policies to bridge the implementation gap.;This study explores the economic role of cybersecurity in Small and Medium Enterprises (SMEs), situating cybersecurity within the framework of merit-goods within the economic theory of market failures and public goods. By examining 240 SMEs across the UK, the empirical findings of this investigation underscore its classification as a merit-good due to its extensive social benefits and the critical gap in its optimal provision. The results confirm the existence of market failure, such as the lack and asymmetry of information regarding cybersecurity, acknowledging the myopia and lack of information within SMEs, leading to suboptimal implementation of cybersecurity. Moreover, the lack of optimal implementation is evidenced by the findings indicating that neither cybersecurity incidents nor cybersecurity impacts in SMEs drive the implementation of cybersecurity. Additionally, we observe that implementation is more focused on control systems than on management systems, which is a significant differentiating factor from large enterprises. The study contributes theoretically by framing cybersecurity as a merit-good, provides managerial insights into SME cybersecurity practices, and emphasizes the importance of nuanced policies to bridge the implementation gap.;Technology in Society;20;0160791X;10.1016/j.techsoc.2024.102670;https://linkinghub.elsevier.com/retrieve/pii/S0160791X24002185;2024;12/4/2026 22:46;12/4/2026 22:46;12/4/2026 22:46;102670;;78;Technology in Society
KEUW65VH;journalArticle;2023;Aithal, P. S.;How to Create Business Value Through Technological Innovations Using ICCT Underlying Technologies;Governance and adaptive leadership in cybersecurity;Adopción de metodologías de evaluación periódica de riesgos y vulnerabilidades;Using twelve ICCT underlying technologies, such as AI, Blockchain, Business intelligence, Cloud computing, Cyber security, 3D printing, IoT, Quantum computing, Mobile marketing, and Ubiquitous education technology, can create business value for organizations in various industries.;"Purpose: Organizations are struggling to sustain and grow in the 21st century due to many challenges and uncertainties while doing their business. Long-term sustaining in the business needs retaining the existing customers and attracting new customers through various strategies for satisfying, delighting, and enlightening existing customers, and creating overwhelming demand through business value creation for attracting new customers. It is a challenge for all the decision-makers to find out how to create business value to retain existing customers and attract new customers. Here, a conceptual and exploratory analysis is made of how the innovations using technology create business value for organizations in general. 
Methodology: This conceptual analysis uses an exploratory research method. The information is collected using Google, Google Scholar, and Artificial Intelligence GPT search engines using appropriate keywords and prompt engineering respectively and the collected, analysed, compared, evaluated, and interpreted towards creating business value using technology with special emphasis on the use of ICCT underlying technologies. The advantages, benefits, constraints, and disadvantages of business value creation using ICCT underlying technologies for business value creation are listed from stakeholders’ points of view. 
Outcome: The role of twelve ICCT Underlying Technologies including AI, Blockchain, Business intelligence, Cloud computing, Cyber security, 3D printing, IoT, Quantum computing, Mobile marketing, Information storage technology, Ubiquitous education technology, and VR & AR for Business Value Creation like Innovation and Differentiation, Customer focus, Operational efficiency, Strategic Partnerships and Alliances, Talent Management, Effective Marketing and Branding, Financial Performance and Growth, Sustainability and Corporate Social Responsibility, and Adaptability and Agility.
Originality/Value: New knowledge and interpretation are presented on how to create business value for long time sustainability by organizations in every industry. 
Type o Paper: Exploratory Research Analysis";International Journal of Applied Engineering and Management Letters;65;2581-7000;10.47992/IJAEML.2581.7000.0184;https://supublication.com/index.php/ijaeml/article/view/110/81;2023;12/4/2026 22:45;12/4/2026 22:45;12/4/2026 22:45;232-292;;;IJAEML
99DDUVYC;journalArticle;2021;"Ali, Rao Faizan; Dominic, P. D. D.; Ali, Syed Emad Azhar; Rehman, Mobashar; Sohail, Abid";Information Security Behavior and Information Security Policy Compliance: A Systematic Literature Review for Identifying the Transformation Process from Noncompliance to Compliance;Technology integration and automation;Sostenibilidad e integración de soluciones de seguridad a largo plazo en la infraestructura;Employees' noncompliance to information security policy is influenced by value conflicts, security-related stress, and neutralization, while internal/external motivations and deterrence techniques can transform noncompliance into compliance behaviors.;A grave concern to an organization’s information security is employees’ behavior when they do not value information security policy compliance (ISPC). Most ISPC studies evaluate compliance and noncompliance behaviors separately. However, the literature lacks a comprehensive understanding of the factors that transform the employees’ behavior from noncompliance to compliance. Therefore, we conducted a systematic literature review (SLR), highlighting the studies done concerning information security behavior (ISB) towards ISPC in multiple settings: research frameworks, research designs, and research methodologies over the last decade. We found that ISPC research focused more on compliance behaviors than noncompliance behaviors. Value conflicts, security-related stress, and neutralization, among many other factors, provided significant evidence towards noncompliance. At the same time, internal/external and protection motivations proved positively significant towards compliance behaviors. Employees perceive internal and external motivations from their social circle, management behaviors, and organizational culture to adopt security-aware behaviors. Deterrence techniques, management behaviors, culture, and information security awareness play a vital role in transforming employees’ noncompliance into compliance behaviors. This SLR’s motivation is to synthesize the literature on ISPC and ISB, identifying the behavioral transformation process from noncompliance to compliance. This SLR contributes to information system security literature by providing a behavior transformation process model based on the existing ISPC literature.;Applied Sciences;95;2076-3417;10.3390/app11083383;https://www.mdpi.com/2076-3417/11/8/3383;2021;12/4/2026 22:45;12/4/2026 22:45;12/4/2026 22:45;3383;8;11;Applied Sciences
NUG5VAX9;journalArticle;2020;"Gordon, Lawrence A; Loeb, Martin P; Zhou, Lei";Integrating cost-benefit analysis into the NIST Cybersecurity Framework via the Gordon-Loeb Model;Technology integration and automation;Automatización y orquestación de procesos de respuesta ante incidentes;The Gordon-Loeb Model effectively integrates cost-benefit analysis into the NIST Cybersecurity Framework, aiding organizations in selecting the most appropriate NIST Implementation Tier level for cybersecurity investments.;The National Institute for Standards and Technology (NIST) Cybersecurity Framework has rapidly become a widely accepted approach to facilitating cybersecurity risk management within organizations. An insightful aspect of the NIST Cybersecurity Framework is its explicit recognition that the activities associated with managing cybersecurity risk are organization specific. The NIST Framework also recognizes that organizations should evaluate their cybersecurity risk management on a cost–benefit basis. The NIST Framework, however, does not provide guidance on how to carry out such a cost–benefit analysis. This article provides an approach for integrating cost–benefit analysis into the NIST Cybersecurity Framework. The Gordon–Loeb (GL) Model for cybersecurity investments is proposed as a basis for deriving a cost-effective level of spending on cybersecurity activities and for selecting the appropriate NIST Implementation Tier level. The analysis shows that the GL Model provides a logical approach to use when considering the cost–benefit aspects of cybersecurity investments during an organization’s process of selecting the most appropriate NIST Implementation Tier level. In addition, the cost–benefit approach provided in this article helps to identify conditions under which there is an incentive to move to a higher NIST Implementation Tier.;Journal of Cybersecurity;76;2057-2085, 2057-2093;10.1093/cybsec/tyaa005;https://academic.oup.com/cybersecurity/article/doi/10.1093/cybsec/tyaa005/5813544;2020;12/4/2026 22:49;12/4/2026 22:49;12/4/2026 22:49;tyaa005;1;6;
3FNMSG5U;journalArticle;2025;"Islam, Shareeful; Basheer, Nihala; Papastergiou, Spyridon; Ciampi, Mario; Silvestri, Stefano";Intelligent dynamic cybersecurity risk management framework with explainability and interpretability of AI models for enhancing security and resilience of digital infrastructure;Technology integration and automation;Monitorización continua y centralizada de eventos de seguridad;The dynamic cybersecurity risk management (d-CSRM) framework effectively prioritizes critical vulnerabilities using a hybrid AI-enabled model and integrating dynamic parameters like vulnerability exploitation and assets dependencies.;The sophistication of cyberattacks has significantly increased, making it almost certain that organizations can be victims of cyberattacks at any time. Managing cybersecurity risk is critical for any organization so that informed decisions can be made to tackle risks before they materialize. Cybersecurity risk management is context-specific and heavily relies on the specific organization's context. However, performing effective risk management is always challenging due to the constant changes in organizational infrastructure and security posture, including the adoption of new applications and the reconfiguration or updating of existing assets and their dependencies, as well as the potential exploitation of vulnerabilities. Despite the wider adoption of AI enabled cybersecurity risk management, there is a lack of focus on the integration of these systems along with the dynamic elements of the risk management. In this context, this research proposes a novel dynamic cyber security risk management (d-CSRM) framework to tackle this challenge by integrating dynamic parameters such as vulnerability exploitation and assets dependencies for assessing and managing the risk. The framework consists of a systemic process and makes use of a hybrid AI-enabled model that combines both linear regression and deep learning, to prioritize the vulnerabilities. Additionally, d-CSRM integrates the explainability and interpretability characteristics of the AI model for explaining model decision making and the inner working parameters. This allows the extraction of the key features that are linked with the risk and informed decision making to tackle the risks. An experiment was performed to prioritize the vulnerabilities from the widely used CVEjoin dataset using the proposed hybrid model to quantify the dynamic risk with explainability. The results show that the hybrid model effectively identifies and prioritizes the most critical vulnerabilities using the selected key features such as exploit type, exploit platform and impact that can further enhance the dynamic risk assessment.;Journal of Reliable Intelligent Environments;14;2199-4668, 2199-4676;10.1007/s40860-025-00253-3;https://link.springer.com/10.1007/s40860-025-00253-3;2025;12/4/2026 22:50;12/4/2026 22:50;12/4/2026 22:50;12;3;11;J Reliable Intell Environ
LJLZNU7U;journalArticle;2023;"Bederna, Zsolt; Szádeczky, Tamás";Managing the financial impact of cybersecurity incidents;Technology integration and automation;Adaptabilidad de la arquitectura de ciberseguridad a las nuevas tecnologías y amenazas;This paper introduces the 'Effect of incidents' metric to measure the impact of unplanned cybersecurity incidents on actual expenditure compared to planned budgets, and the 'Incidence of incident recognition' metric to measure deviations in incident impact perception.;"The complex relationships of economic actors and the high dependency on information and communication technologies make it necessary for all relevant entities to develop protection. This protection should include preventive and reactive controls in a risk-proportionate manner in relation to the business value protected. We aimed to develop a solution to support cybersecurity-related business decisions with financial analytics. The risk-based approach helps management find the optimum solution with minimal costs, where protection prevents some incidents from occurring, while the risks associated with other incidents are accepted in an informed way. The security industry developed a number of apparatuses to find the optimum security controls that enforced the fiscal aspects, which typically contain solutions used in planning. However, the actual expenditure often differs from the planned budget for several reasons, one of which is
the occurrence of security incidents. We used the common methodology toolset for financial analysis (NPV, NFV, risk assessment). We developed novel metrics based on these that can be used in cybersecurity management. Within the framework thus defined, the article discusses the economic context of the effects of incidents involving Meta (previously Facebook) services from 2016 to 2020. This paper introduces the ‘Effect of incidents’ metric to measure the impact of unplanned incidents’ on actual expenditure compared to the planned budget and the ‘Incidence of incident recognition’ metric to measure deviations of an incident’s impact as perceived by owners relative to the effect on the value of the assets. The paper also proves the applicability of those metrics using the example of Meta.";Security and Defence Quarterly;5;2300-8741, 2544-994X;10.35467/sdq/159625;https://securityanddefence.pl/Managing-the-financial-impact-of-cybersecurity-incidents,159625,0,2.html;2023;12/4/2026 22:46;12/4/2026 22:46;12/4/2026 22:46;;;;Security and Defence Quarterly
G4Z8BY7V;journalArticle;2025;"Lezzi, Marianna; Corallo, Angelo; Lazoi, Mariangela; Nimis, Aldo";Measuring cyber resilience in industrial IoT: a systematic literature review;Governance and adaptive leadership in cybersecurity;Aplicación de políticas estrictas de control de acceso y privilegios;This study reviews various metrics for measuring cyber resilience in industrial IoT, providing practical references for managers and industry experts to choose appropriate metrics based on their strategic objectives.;In industrial environments based on the Industrial Internet of Things (IIoT) paradigm, the increasing use of advanced digital technologies and networked physical systems has resulted in new vulnerabilities to cyber-attacks, giving rise to the concept of cyber resilience. Cyber resilience, together with human-centricity and sustainability, represent the pillars of the fifth industrial revolution. Measuring the status of an organization in terms of cyber resilience can provide meaningful insight into its cybersecurity performance and is critical to effective business management. This study follows the systematic literature review (SLR) approach to investigate the concept of cyber resilience in the IIoT context, with a focus on metrics for measuring business performance in this area. In particular, the industries in which cyber resilience metrics are applied and the industrial assets involved are analyzed, with an emphasis on the system properties to be resilient. Finally, a tabular outline is proposed to efficiently collect all the metrics in the reviewed literature for cyber resilience assessment. This study aims to provide managers and industry experts with practical references, useful for discovering and choosing cyber resilience metrics based on organization’s strategic objectives.;Management Review Quarterly;5;2198-1620, 2198-1639;10.1007/s11301-025-00495-8;https://link.springer.com/10.1007/s11301-025-00495-8;2025;12/4/2026 22:53;12/4/2026 22:53;12/4/2026 22:53;;;;Manag Rev Q
SP8GCJ77;journalArticle;2020;"Ganin, Alexander A.; Quach, Phuoc; Panwar, Mahesh; Collier, Zachary A.; Keisler, Jeffrey M.; Marchese, Dayton; Linkov, Igor";Multicriteria Decision Framework for Cybersecurity Risk Assessment and Management;Technology integration and automation;Diversificación de tecnologías de defensa para reducir puntos únicos de fallo;This paper proposes a decision-analysis-based approach that quantifies threat, vulnerability, and consequences to assess the overall utility of cybersecurity management alternatives, bridging the gap between risk assessment and risk management.;Risk assessors and managers face many difficult challenges related to novel cyber systems. Among these challenges are the constantly changing nature of cyber systems caused by technical advances, their distribution across the physical, information, and sociocognitive domains, and the complex network structures often including thousands of nodes. Here, we review probabilistic and risk-based decision-making techniques applied to cyber systems and conclude that existing approaches typically do not address all components of the risk assessment triplet (threat, vulnerability, consequence) and lack the ability to integrate across multiple domains of cyber systems to provide guidance for enhancing cybersecurity. We present a decision-analysis-based approach that quantifies threat, vulnerability, and consequences through a set of criteria designed to assess the overall utility of cybersecurity management alternatives. The proposed framework bridges the gap between risk assessment and risk management, allowing an analyst to ensure a structured and transparent process of selecting risk management alternatives. The use of this technique is illustrated for a hypothetical, but realistic, case study exemplifying the process of evaluating and ranking five cybersecurity enhancement strategies. The approach presented does not necessarily eliminate biases and subjectivity necessary for selecting countermeasures, but provides justifiable methods for selecting risk management actions consistent with stakeholder and decisionmaker values and technical data.;Risk Analysis;167;0272-4332, 1539-6924;10.1111/risa.12891;https://onlinelibrary.wiley.com/doi/10.1111/risa.12891;2020;12/4/2026 22:49;12/4/2026 22:49;12/4/2026 22:49;183-199;1;40;Risk Analysis
WEVL9TAE;journalArticle;2023;Botha-Badenhorst, Danielle;Navigating the Intersection of Innovation and Cybersecurity: A Framework;Governance and adaptive leadership in cybersecurity;Implementación de planes de contingencia y recuperación ante desastres integrados a los procesos;Firms can effectively mitigate cybersecurity risks while driving innovation and value creation by aligning their cybersecurity practices with innovation objectives, using the NIST Cybersecurity Framework.;"Reliance on digital technologies for innovation management is unavoidable in current contexts. While digital processes and business models have been prioritised as key factors to drive innovation and value creation within firms, cybersecurity concerns are still rife. Increased levels and severity of cybersecurity breaches (CSBs) have had adverse effects on trust, caused significant revenue losses, and inflicted reputational damage on many firms. Further exacerbating these concerns is an observation made in the Global Risks Report of 2022, the World Economic Forum: cybersecurity measures taken by businesses are becoming increasingly obsolete. Many firms face severe consequences without implementing strategic objectives to limit the threats posed by CSBs. Cybersecurity breaches (CSBs) have a significant long-term impact on firm-level innovation and investment decisions. However, many firms are reluctant to examine or enhance their existing cybersecurity practices because of concerns that they may limit their innovation ability. Determining a method to limit CSBs and retain capabilities to perform necessary innovative processes is a delicate balance, with trade-offs to be considered within each process. 
This paper aims to address the delicate balance between limiting CSBs and preserving the ability to undertake necessary innovative processes. Building upon the Cyber Security Maturity and Innovation matrix introduced by Nelson and Madnick (2017), this paper expands the framework by providing specific suggestions for each quadrant. The matrix classifies firms into different quadrants based on their reliance on innovation and their assessment of cyber risk. We then detail measures to improve cybersecurity maturity for firms in each quadrant, incorporating the National Institute of Standards and Technology (NIST) Cybersecurity Framework Version 1.1 (CSF) as a reference. By making well-informed decisions and implementing appropriate measures, firms can effectively mitigate CSB risks while continuing to drive innovation and create value. This expanded framework serves as a valuable tool for firms seeking to align their cybersecurity practices with their innovation objectives, in accordance with the NIST CSF.";European Conference on Research Methodology for Business and Management Studies;4;2049-0976, 2049-0968;10.34190/ecrm.22.1.1490;https://papers.academic-conferences.org/index.php/ecrm/article/view/1490;2023;12/4/2026 22:47;12/4/2026 22:47;12/4/2026 22:47;18-25;1;22;ecrm
CYSY9G7S;journalArticle;2021;"Hillmann, Julia; Guenther, Edeltraud";Organizational Resilience: A Valuable Construct for Management Research?;Interagency collaboration and regulatory best practices;Coordinación efectiva con reguladores y entidades gubernamentales;Organizational resilience is a promising concept in management research, but needs more clarity in its measurement and improved understanding of its conceptual problems for future research.;Recently, the concept of resilience has gained new momentum in organization studies.It is held to be a very promising concept to explain how organizations can survive andthrive amidst adversity or turbulence. However, ﬁndings from an earlier review aboutresilience in the organizational and business context show that, although empirical re-search on the concept has increased, there is still a need for more clarity in terms ofits measurement. The aim of this paper is to present a systematic review of the orga-nizational resilience construct that covers both conceptual and operational issues. Wediscuss why researchers criticize resilience for being fuzzy and move on to identify andanalyse existing literature under the lens of construct development and taxonomies.With this study, we aim to point out conceptual problems for future researchers toaddress conceptual clarity and to develop a clearer, more parsimonious concept. Weconclude with a suggestion about future measurement.;International Journal of Management Reviews;623;1460-8545, 1468-2370;10.1111/ijmr.12239;https://onlinelibrary.wiley.com/doi/10.1111/ijmr.12239;2020;12/4/2026 22:50;12/4/2026 22:50;12/4/2026 22:50;7-44;1;23;Int J Management Reviews
J8AJ7NE7;preprint;2023;"Franco, Muriel Figueredo; Künzler, Fabian; von der Assen, Jan; Feng, Chao; Stiller, Burkhard";RCVaR: an Economic Approach to Estimate Cyberattacks Costs using Data from Industry Reports;Governance and adaptive leadership in cybersecurity;Definición y revisión sistemática de políticas de seguridad alineadas con la estrategia organizacional;The Real Cyber Value at Risk (RCVaR) is an economical approach for estimating cybersecurity costs using real-world information from public cybersecurity reports, providing accurate and efficient predictions and management of cyber risks.;Digitization increases business opportunities and the risk of companies being victims of devastating cyberattacks. Therefore, managing risk exposure and cybersecurity strategies is essential for digitized companies that want to survive in competitive markets. However, understanding company-specific risks and quantifying their associated costs is not trivial. Current approaches fail to provide individualized and quantitative monetary estimations of cybersecurity impacts. Due to limited resources and technical expertise, SMEs and even large companies are affected and struggle to quantify their cyberattack exposure. Therefore, novel approaches must be placed to support the understanding of the financial loss due to cyberattacks. This article introduces the Real Cyber Value at Risk (RCVaR), an economical approach for estimating cybersecurity costs using real-world information from public cybersecurity reports. RCVaR identifies the most significant cyber risk factors from various sources and combines their quantitative results to estimate specific cyberattacks costs for companies. Furthermore, RCVaR extends current methods to achieve cost and risk estimations based on historical real-world data instead of only probability-based simulations. The evaluation of the approach on unseen data shows the accuracy and efficiency of the RCVaR in predicting and managing cyber risks. Thus, it shows that the RCVaR is a valuable addition to cybersecurity planning and risk management processes.;Comput. Secur.;17;;10.48550/ARXIV.2307.11140;https://arxiv.org/abs/2307.11140;2023;12/4/2026 22:49;12/4/2026 22:49;12/4/2026 22:49;;;;
DGEKUG6E;conferencePaper;2024;"Platunina, Galina P.; Salutina, Tatyana Y.; Frank, Irina A.";Risk Management of Data Transmission Within the Framework of the Digital Transformation of the Telecommunications Industry;Governance and adaptive leadership in cybersecurity;Involucramiento de la alta dirección y existencia de comités de ciberseguridad;Digital risks in the telecommunications industry can be managed through comprehensive management systems that adapt to changes in digital transformation.;The article analyzes digital risks associated with data transmission in the telecommunications industry and offers recommendations for managing them. Active implementation of innovations leads to the emergence of digital risks, such as cybersecurity, compliance risk, automation risk, and human resource management. To successfully prevent risk events or minimize damage, it is necessary to implement comprehensive management systems that adapt to changes in the digital transformation of business processes.;2024 International Conference on Engineering Management of Communication and Technology (EMCTECH);7;3064-9382;10.1109/EMCTECH63049.2024.10741645;https://ieeexplore.ieee.org/document/10741645/;2024;12/4/2026 22:54;12/4/2026 22:54;12/4/2026 22:54;1-5;;;
7IG2CYM4;journalArticle;2024;"Philip Olaseni Shoetan; Olukunle Oladipupo Amoo; Enyinaya Stefano Okafor; Oluwabukunmi Latifat Olorunfemi";SYNTHESIZING AI'S IMPACT ON CYBERSECURITY IN TELECOMMUNICATIONS: A CONCEPTUAL FRAMEWORK;Focus on Threat Intelligence and Predictive Analytics (CTI);Evaluación proactiva de la exposición a amenazas nuevas y emergentes;AI can enhance cybersecurity in telecommunications by enhancing threat detection, mitigation, and response strategies, while addressing ethical considerations and transparency.;"As the telecommunications sector increasingly relies on interconnected digital infrastructure, the proliferation of cyber threats poses significant challenges to security and operational integrity. This review presents a conceptual framework for understanding and harnessing the potential of artificial intelligence (AI) in fortifying cybersecurity within the telecommunications industry.  The framework integrates the transformative capabilities of AI with the unique demands of cybersecurity in telecommunications, aiming to enhance threat detection, mitigation, and response strategies. It encompasses a multidimensional approach that encompasses both technical and organizational facets, recognizing the interconnectedness of technology, human factors, and regulatory environments. Firstly, the framework delves into the application of AI in bolstering proactive threat intelligence gathering and analysis. Through advanced algorithms and machine learning techniques, AI empowers telecom operators to identify anomalous patterns, predict potential vulnerabilities, and pre-emptively adapt defensive measures. Secondly, it explores AI-driven solutions for dynamic risk assessment and adaptive cybersecurity protocols. By leveraging real-time data analytics and automated decision-making, telecom networks can swiftly adapt to evolving threats and ensure continuous protection against intrusions or breaches. Furthermore, the framework emphasizes the role of AI in augmenting human capabilities through intelligent automation and cognitive assistance. By offloading routine tasks and providing context-aware insights, AI enables cybersecurity professionals to focus on strategic initiatives and complex threat scenarios. Lastly, the framework addresses the imperative of ethical considerations, accountability, and transparency in deploying AI for cybersecurity in telecommunications. It advocates for responsible AI governance frameworks that prioritize privacy, fairness, and bias mitigation while fostering collaboration across industry stakeholders. In summary, this conceptual framework provides a roadmap for harnessing AI's transformative potential to fortify cybersecurity resilience in telecommunications, thereby safeguarding critical infrastructure and ensuring the integrity of global communication networks. 
Keywords: AI, Cybersecurity, Telecommunication, Framework, Conceptual, Impact, Review.";Computer Science & IT Research Journal;18;2709-0051, 2709-0043;10.51594/csitrj.v5i3.908;https://fepbl.com/index.php/csitrj/article/view/908;2024;12/4/2026 22:58;12/4/2026 22:58;12/4/2026 22:58;594-605;3;5;Comput. sci. IT res. j.
ZUCRFXYX;journalArticle;2021;"Kianpour, Mazaher; Kowalski, Stewart J.; Øverby, Harald";Systematically Understanding Cybersecurity Economics: A Survey;Financial optimization and efficient allocation of resources;Priorización de inversiones basada en impacto potencial y criticidad del servicio;Cybersecurity economics models are transitioning from unrealistic, unverifiable, and simplified fundamentals towards dynamic, stochastic, and generalizable models, empowering decision makers to make informed decisions.;Insights in the field of cybersecurity economics empower decision makers to make informed decisions that improve their evaluation and management of situations that may lead to catastrophic consequences and threaten the sustainability of digital ecosystems. By drawing on these insights, cybersecurity practitioners have been able to respond to many complex problems that have emerged within the context of cybersecurity over the last two decades. The academic field of cybersecurity economics is highly interdisciplinary since it combines core findings and tools from disciplines such as sociology, psychology, law, political science, and computer science. This study aims to develop an extensive and consistent survey based on a literature review and publicly available reports. This review contributes by aggregating the available knowledge from 28 studies, out of a collection of 628 scholarly articles, to answer five specific research questions. The focus is how identified topics have been conceptualized and studied variously. This review shows that most of the cybersecurity economics models are transitioning from unrealistic, unverifiable, or highly simplified fundamental premises toward dynamic, stochastic, and generalizable models.;Sustainability;50;2071-1050;10.3390/su132413677;https://www.mdpi.com/2071-1050/13/24/13677;2021;12/4/2026 22:51;12/4/2026 22:51;12/4/2026 22:51;13677;24;13;Sustainability
J8BI6M6P;journalArticle;2022;"Hajar, Mohammed A.; Alkahtani, Ammar Ahmed; Ibrahim, Daing Nasir; Al-Sharafi, Mohammed A.; Alkawsi, Gamal; Iahad, Noorminshah A.; Darun, Mohd Ridzuan; Tiong, Sieh Kiong";The Effect of Value Innovation in the Superior Performance and Sustainable Growth of Telecommunications Sector: Mediation Effect of Customer Satisfaction and Loyalty;Technology integration and automation;Integración de mecanismos de cifrado robustos en sistemas y comunicaciones;Value innovation in the telecommunications sector improves company performance and long-term growth by promoting customer satisfaction and loyalty.;The telecommunications industry has recognized innovation as the key to growth and survival. Globalization, liberalization, and privatization, the terms most commonly associated with this sector, have resulted in fierce competition, making it more difficult for telecommunications firms to increase their market share and, as a result, their customer base, sales volume, and, ultimately, profits. The new success strategy is differentiation through innovation, with the aim of breaking out of the competition and creating an uncontested market. This can be accomplished by providing high-value, innovative services that result in customer satisfaction and promote customer loyalty. The primary goal of this study was to create and validate a conceptual model of value innovation and its impact on firm performance and long-term growth by examining the mediation effect of customer satisfaction and loyalty. The empirical analysis results were based on 304 respondents who completed a paper-based survey provided to employees of Yemeni mobile service providers using a convenience non-probability sampling technique. SmartPLS 3 was used to test the hypothesized relationships using partial least squares structural equation modeling (PLS-PM). As a result, the findings empirically validated the theoretical research model, confirming the importance of the value innovation approach to achieving company performance and long-term growth by promoting customer satisfaction and loyalty. Finally, we have provided a discussion of the study’s theoretical contributions, managerial implications, and future research directions.;Sustainability;35;2071-1050;10.3390/su14106342;https://www.mdpi.com/2071-1050/14/10/6342;2022;12/4/2026 22:50;12/4/2026 22:50;12/4/2026 22:50;6342;10;14;Sustainability
B575Y836;journalArticle;2023;"Jebril, Iqbal; Almaslmani, Rafat; Jarah, Baker Akram Falah; Mugableh, Mohamed Ibrahim; Zaqeeba, Nidal";The impact of strategic intelligence and asset management on enhancing competitive advantage: The mediating role of cybersecurity;Focus on Threat Intelligence and Predictive Analytics (CTI);Aplicación de análisis forense digital para lecciones aprendidas y mejora de procesos;Strategic intelligence and asset management positively impact competitive advantage in Jordanian telecom companies, with cybersecurity playing a mediating role.;Companies utilize competitive advantage as a tool to assist them gain more value for their products at a cheaper cost without sacrificing quality to provide greater features and services. Companies and services must use cybersecurity tools, training, and risk management strategies, as well as regularly upgrade systems as technology changes and evolves, to secure organizations, employees, and individuals. As a result, with the mediating function of cybersecurity, this study clarified the influence of strategic intelligence and asset management on boosting competitive advantage. A questionnaire was designed, and 300 questionnaires were collected out of 350 distributed to respondents working in Jordanian telecom companies. The study found a positive impact of both strategic intelligence and asset management on enhancing competitive advantage through the presence of the mediating role of cybersecurity.;Uncertain Supply Chain Management;23;22916822, 22916830;10.5267/j.uscm.2023.4.018;http://www.growingscience.com/uscm/Vol11/uscm_2023_77.pdf;2023;12/4/2026 22:50;12/4/2026 22:50;12/4/2026 22:50;1041-1046;3;11;10.5267/j.uscm
MLVKWCWH;journalArticle;2023;"Kitsios, Fotis; Chatzidimitriou, Elpiniki; Kamariotou, Maria";The ISO/IEC 27001 Information Security Management Standard: How to Extract Value from Data in the IT Sector;Governance and adaptive leadership in cybersecurity;Implementación de auditorías regulares y externas en ciberseguridad;ISO 27001 certification in the IT sector enhances data privacy, accessibility, and authenticity, making companies more resilient against information security threats and cyberattacks.;In order to handle their regulatory and legal responsibilities and to retain trustworthy strategic partnerships, enterprises need to be dedicated to guaranteeing the privacy, accessibility, and authenticity of the data at their disposal. Companies can become more resilient in the face of information security threats and cyberattacks by effectively integrating security strategies. The goal of this article is to describe a plan that a corporation has implemented in the information technology industry in order to ensure compliance with International Organization for Standardization (ISO) 27001. This research demonstrates an examination of the reasons that force enterprises to make a investment in ISO 27001 in addition to the incentives that might be acquired from having undergone this process. In addition, the research examines the reasons that push firms to make an investment in ISO 27001. More particularly, the research investigates an international IT consulting services institution that is responsible for the implementation of large-scale business assistance insertion and projects. It demonstrates the risk management framework and the administrative structure of the appropriate situations so that its procedures are adequate and also in line with the guidelines founded by ISO 27001. In conclusion, it discusses the problems and difficulties that were experienced.;Sustainability;57;2071-1050;10.3390/su15075828;https://www.mdpi.com/2071-1050/15/7/5828;2023;12/4/2026 22:51;12/4/2026 22:51;12/4/2026 22:51;5828;7;15;Sustainability
